identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
jobs.pricerunner.com,URL,"",false,false,not_defined,not_defined,not_defined,none,,2025-10-21 09:40:09 UTC,2025-10-21 09:40:09 UTC
pricerunner.com,URL,"",true,true,,,,critical,,2025-10-13 11:27:07 UTC,2025-10-13 11:27:07 UTC
https://app.klarna.com/us/api/connected_card_bff/,URL,"",false,false,,none,,critical,,2025-10-13 11:52:28 UTC,2025-10-13 11:52:28 UTC
Klarna iOS App (com.klarna.app),APPLE_STORE_APP_ID,Please use your hacker email alias (e.g. h1username@wearehackerone.com) when testing. URL: https://apps.apple.com/it/app/klarna-shop-now-pay-later/id1115120118,true,true,,,,critical,,2025-02-17 09:21:51 UTC,2025-02-17 09:23:04 UTC
Merchant Portal,OTHER,https://portal.playground.klarna.com,true,true,not_defined,not_defined,not_defined,critical,,2024-05-10 08:17:07 UTC,2024-06-25 11:57:42 UTC
https://api.pricerunner.com/swagger-ui.html,URL,"",false,false,,,,critical,,2025-10-13 11:52:28 UTC,2025-10-13 11:52:28 UTC
portal.openbanking.playground.klarna.com,URL,"",true,true,,,,critical,,2025-10-13 11:27:07 UTC,2025-10-13 11:27:07 UTC
js.klarna.com,URL,"",true,true,,,,critical,,2025-10-13 11:27:07 UTC,2025-10-13 11:27:07 UTC
api.klarna.com,URL,"",true,true,,,,critical,,2025-10-13 11:27:07 UTC,2025-10-13 11:27:07 UTC
klarna.com,URL,"",true,true,,,,critical,,2025-10-13 11:27:07 UTC,2025-10-13 11:27:07 UTC
klarna.net,URL,"",true,true,,,,critical,,2025-10-13 11:27:07 UTC,2025-10-13 11:27:07 UTC
xs2a.banking.playground.klarna.com,URL,"",true,true,,,,critical,,2025-10-13 11:27:07 UTC,2025-10-13 11:27:07 UTC
klarnacdn.net,URL,"",true,true,,,,critical,,2025-10-13 11:27:07 UTC,2025-10-13 11:27:07 UTC
Kustom,OTHER,"Any endpoint, URL, or functionality related to Kustom is out of scope. ",false,false,,,,critical,,2025-10-13 11:29:18 UTC,2025-10-13 11:36:53 UTC
locker.klarna.com,URL,"",false,false,,,,critical,,2025-10-13 11:30:49 UTC,2025-10-13 11:30:49 UTC
app.klarna.com,API,Klarna app's API. ,true,true,,,,critical,,2025-02-24 09:32:26 UTC,2025-02-24 09:32:26 UTC
nuji.com,URL,"",false,false,,,,none,,2025-10-13 11:30:49 UTC,2025-10-13 11:30:49 UTC
https://api-us.pricerunner.com/swagger-ui.html,URL,"",false,false,,,,critical,,2025-10-13 11:52:28 UTC,2025-10-13 11:52:28 UTC
Klarna Android App (com.myklarnamobile),GOOGLE_PLAY_APP_ID,Please use your hacker email alias (e.g. h1username@wearehackerone.com) when testing. URL: https://play.google.com/store/apps/details?id=com.myklarnamobile,true,true,,,,critical,,2025-02-17 09:25:14 UTC,2025-02-17 09:25:14 UTC
https://api-stage.pricerunner.com/swagger-ui.html,URL,"",false,false,,,,critical,,2025-10-13 11:52:28 UTC,2025-10-13 11:52:28 UTC
