identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
help.redoxengine.com,URL,"",true,true,low,low,low,medium,,2023-01-10 18:43:13 UTC,2023-02-03 16:10:39 UTC
dashboard.redoxengine.com,URL,Please ensure all testing is performed against the staging instance at 10x.redoxengine.com,false,false,,,,critical,,2023-01-10 18:15:22 UTC,2023-02-03 16:10:39 UTC
www.redoxengine.com,URL,This is our wordpress marketing site.  Findings here have lesser security implication than our application,true,true,low,low,low,medium,Wordpress,2023-01-10 18:42:50 UTC,2023-08-25 14:05:54 UTC
10x.redoxengine.com,URL,"",true,true,,,,critical,"Amazon AWS WAF, AmazonRDS, Amazon Web Services, JavaScript, React, English",2023-01-10 18:11:28 UTC,2023-02-03 16:10:39 UTC
sso.redoxengine.com,URL,"",false,false,,,,critical,,2023-01-10 18:45:24 UTC,2023-02-03 16:10:39 UTC
testapp.redoxengine.com,URL,"",true,true,,,,critical,"Amazon AWS WAF, Amazon Web Services, JavaScript, Node.js",2023-01-10 18:13:00 UTC,2023-02-03 16:10:39 UTC
testapi.redoxengine.com,URL,"",true,true,,,,critical,"Amazon AWS WAF, Amazon Web Services, JavaScript, Node.js",2023-01-10 18:13:40 UTC,2023-02-03 16:10:39 UTC
api.redoxengine.com,URL,Please ensure all testing is performed against the staging instance at testapi.redoxengine.com,false,false,,,,critical,,2023-01-10 18:16:27 UTC,2023-02-03 16:10:39 UTC
https://redoxengine.atlassian.net,URL,Internal Jira is out of scope,false,false,none,none,none,none,,2023-06-09 16:12:35 UTC,2023-08-25 14:10:59 UTC
candi.redoxengine.com,URL,Please ensure all testing is performed against the staging instance at testapp.redoxengine.com,false,false,,,,critical,,2023-01-10 18:16:05 UTC,2023-02-03 16:10:39 UTC
redox.slack.com,URL,Internal Slack is out of scope,false,false,,,,critical,,2023-01-10 18:45:50 UTC,2023-08-25 14:10:49 UTC
fhir.redoxengine.com,URL,"",true,true,low,low,low,medium,,2023-01-10 18:41:53 UTC,2023-02-03 16:10:39 UTC
test*.redoxengine.com,WILDCARD,"",true,true,medium,medium,medium,critical,"Amazon AWS WAF, Amazon Web Services, JavaScript",2023-01-10 18:33:47 UTC,2023-05-15 16:39:28 UTC
explore.redoxengine.com,URL,This is a marketing site with all public information. Findings here have lesser security implication than our application,true,true,low,low,low,medium,,2023-01-10 18:42:13 UTC,2023-08-25 14:10:02 UTC
docs.redoxengine.com,URL,"",true,true,low,low,low,medium,Gatsby.js,2023-01-10 18:41:20 UTC,2023-02-03 16:10:39 UTC
